gene_set_name,gene_set_description,gene_symbol,gene_description
B-Cell,description,MS4A1,description
B-Cell,description,BANK1,description
B-Cell,description,BLK,description
plasma.cell,description,JCHAIN,description
plasma.cell,description,MZB1,description
plasma.cell,description,IGHG1,description
Myeloid,description,FCER1G,description
Myeloid,description,SPP1,description
Myeloid,description,TYROBP,description
T-Cell,description,CD3E,description
T-Cell,description,IL32,description
T-Cell,description,CD247,description
NK-Cell,description,NKG7,description
NK-Cell,description,KLRB1,description
NK-Cell,description,TRDC,description
Mast-cell,description,KIT,description
Mast-cell,description,MS4A2,description
Mast-cell,description,CPA3,description
Endothelial,description,PECAM1,description
Endothelial,description,VWF,description
Endothelial,description,COL4A1,description
Endothelial,description,CLDN5,description
Endothelial,description,ITM2A,description
MuralCell,description,CALD1,description
MuralCell,description,COL1A2,description
Neuron,description,RTN1,description
Neuron,description,TAGLN3,description
Neuron,description,CAMK2B,description
Oligodendrocyte,description,MBP,description
Oligodendrocyte,description,PLP1,description
Oligodendrocyte,description,TF,description
Oligodendrocyte,description,CLDN1,description
OPC,description,VCAN,description
OPC,description,PLLP,description
OPC,description,SCD5,description
Astrocyte,description,AQP4,description
Astrocyte,description,SLC1A2,description
Malignant,description,PTPRZ1,description
Malignant,description,PTN,description
Malignant,description,EGFR,description
Malignant,description,SOX2,description
Malignant,description,SOX4,description
Cycling,description,MKI67,description
Cycling,description,TOP2A,description
Cycling,description,HMGN2,description
